Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,PPFST Crowd
US National,Season peak percentage,Bin,percent,0.1,0.2,0.001039917
US National,Season peak percentage,Bin,percent,0.2,0.3,0.001039922
US National,Season peak percentage,Bin,percent,0.3,0.4,0.001039928
US National,Season peak percentage,Bin,percent,0.4,0.5,0.001039936
US National,Season peak percentage,Bin,percent,0.5,0.6,0.001039947
US National,Season peak percentage,Bin,percent,0.6,0.7,0.001039961
US National,Season peak percentage,Bin,percent,0.7,0.8,0.001039979
US National,Season peak percentage,Bin,percent,0.8,0.9,0.001040003
US National,Season peak percentage,Bin,percent,0.9,1,0.001040035
US National,Season peak percentage,Bin,percent,1,1.1,0.001040077
US National,Season peak percentage,Bin,percent,1.1,1.2,0.001040132
US National,Season peak percentage,Bin,percent,1.2,1.3,0.001040206
US National,Season peak percentage,Bin,percent,1.3,1.4,0.001040304
US National,Season peak percentage,Bin,percent,1.4,1.5,0.001040435
US National,Season peak percentage,Bin,percent,1.5,1.6,0.001040609
US National,Season peak percentage,Bin,percent,1.6,1.7,0.001040842
US National,Season peak percentage,Bin,percent,1.7,1.8,0.001041153
US National,Season peak percentage,Bin,percent,1.8,1.9,0.00104157
US National,Season peak percentage,Bin,percent,1.9,2,0.001042129
US National,Season peak percentage,Bin,percent,2,2.1,0.001042879
US National,Season peak percentage,Bin,percent,2.1,2.2,0.001043887
US National,Season peak percentage,Bin,percent,2.2,2.3,0.001045242
US National,Season peak percentage,Bin,percent,2.3,2.4,0.001047064
US National,Season peak percentage,Bin,percent,2.4,2.5,0.001049515
US National,Season peak percentage,Bin,percent,2.5,2.6,0.001052813
US National,Season peak percentage,Bin,percent,2.6,2.7,0.001057247
US National,Season peak percentage,Bin,percent,2.7,2.8,0.001063206
US National,Season peak percentage,Bin,percent,2.8,2.9,0.001071207
US National,Season peak percentage,Bin,percent,2.9,3,0.001081938
US National,Season peak percentage,Bin,percent,3,3.1,0.001096304
US National,Season peak percentage,Bin,percent,3.1,3.2,0.001115499
US National,Season peak percentage,Bin,percent,3.2,3.3,0.001141082
US National,Season peak percentage,Bin,percent,3.3,3.4,0.001175073
US National,Season peak percentage,Bin,percent,3.4,3.5,0.00137467
US National,Season peak percentage,Bin,percent,3.5,3.6,0.002825333
US National,Season peak percentage,Bin,percent,3.6,3.7,0.003057803
US National,Season peak percentage,Bin,percent,3.7,3.8,0.004550774
US National,Season peak percentage,Bin,percent,3.8,3.9,0.004991826
US National,Season peak percentage,Bin,percent,3.9,4,0.006553037
US National,Season peak percentage,Bin,percent,4,4.1,0.008006957
US National,Season peak percentage,Bin,percent,4.1,4.2,0.009055187
US National,Season peak percentage,Bin,percent,4.2,4.3,0.011719617
US National,Season peak percentage,Bin,percent,4.3,4.4,0.011685075
US National,Season peak percentage,Bin,percent,4.4,4.5,0.015458445
US National,Season peak percentage,Bin,percent,4.5,4.6,0.015633343
US National,Season peak percentage,Bin,percent,4.6,4.7,0.014850638
US National,Season peak percentage,Bin,percent,4.7,4.8,0.019149633
US National,Season peak percentage,Bin,percent,4.8,4.9,0.022352677
US National,Season peak percentage,Bin,percent,4.9,5,0.020440238
US National,Season peak percentage,Bin,percent,5,5.1,0.021597419
US National,Season peak percentage,Bin,percent,5.1,5.2,0.028125131
US National,Season peak percentage,Bin,percent,5.2,5.3,0.026545124
US National,Season peak percentage,Bin,percent,5.3,5.4,0.029803009
US National,Season peak percentage,Bin,percent,5.4,5.5,0.030273405
US National,Season peak percentage,Bin,percent,5.5,5.6,0.033462872
US National,Season peak percentage,Bin,percent,5.6,5.7,0.033278749
US National,Season peak percentage,Bin,percent,5.7,5.8,0.035840674
US National,Season peak percentage,Bin,percent,5.8,5.9,0.034596618
US National,Season peak percentage,Bin,percent,5.9,6,0.034135177
US National,Season peak percentage,Bin,percent,6,6.1,0.035967875
US National,Season peak percentage,Bin,percent,6.1,6.2,0.031266805
US National,Season peak percentage,Bin,percent,6.2,6.3,0.031166121
US National,Season peak percentage,Bin,percent,6.3,6.4,0.031669505
US National,Season peak percentage,Bin,percent,6.4,6.5,0.031889579
US National,Season peak percentage,Bin,percent,6.5,6.6,0.029560824
US National,Season peak percentage,Bin,percent,6.6,6.7,0.024899383
US National,Season peak percentage,Bin,percent,6.7,6.8,0.026163013
US National,Season peak percentage,Bin,percent,6.8,6.9,0.021046749
US National,Season peak percentage,Bin,percent,6.9,7,0.019964247
US National,Season peak percentage,Bin,percent,7,7.1,0.016933309
US National,Season peak percentage,Bin,percent,7.1,7.2,0.015390969
US National,Season peak percentage,Bin,percent,7.2,7.3,0.013816148
US National,Season peak percentage,Bin,percent,7.3,7.4,0.012841491
US National,Season peak percentage,Bin,percent,7.4,7.5,0.010617016
US National,Season peak percentage,Bin,percent,7.5,7.6,0.010232271
US National,Season peak percentage,Bin,percent,7.6,7.7,0.007969338
US National,Season peak percentage,Bin,percent,7.7,7.8,0.007063266
US National,Season peak percentage,Bin,percent,7.8,7.9,0.005336396
US National,Season peak percentage,Bin,percent,7.9,8,0.00617561
US National,Season peak percentage,Bin,percent,8,8.1,0.005238473
US National,Season peak percentage,Bin,percent,8.1,8.2,0.005140034
US National,Season peak percentage,Bin,percent,8.2,8.3,0.003858897
US National,Season peak percentage,Bin,percent,8.3,8.4,0.003394501
US National,Season peak percentage,Bin,percent,8.4,8.5,0.002655971
US National,Season peak percentage,Bin,percent,8.5,8.6,0.003491099
US National,Season peak percentage,Bin,percent,8.6,8.7,0.002802074
US National,Season peak percentage,Bin,percent,8.7,8.8,0.003675872
US National,Season peak percentage,Bin,percent,8.8,8.9,0.002243854
US National,Season peak percentage,Bin,percent,8.9,9,0.003140703
US National,Season peak percentage,Bin,percent,9,9.1,0.002499263
US National,Season peak percentage,Bin,percent,9.1,9.2,0.002172782
US National,Season peak percentage,Bin,percent,9.2,9.3,0.001850663
US National,Season peak percentage,Bin,percent,9.3,9.4,0.002459371
US National,Season peak percentage,Bin,percent,9.4,9.5,0.001988401
US National,Season peak percentage,Bin,percent,9.5,9.6,0.002292225
US National,Season peak percentage,Bin,percent,9.6,9.7,0.001669876
US National,Season peak percentage,Bin,percent,9.7,9.8,0.001666912
US National,Season peak percentage,Bin,percent,9.8,9.9,0.002128482
US National,Season peak percentage,Bin,percent,9.9,10,0.00150848
US National,Season peak percentage,Bin,percent,10,10.1,0.001352671
US National,Season peak percentage,Bin,percent,10.1,10.2,0.001506356
US National,Season peak percentage,Bin,percent,10.2,10.3,0.001505681
US National,Season peak percentage,Bin,percent,10.3,10.4,0.001505178
US National,Season peak percentage,Bin,percent,10.4,10.5,0.001195621
US National,Season peak percentage,Bin,percent,10.5,10.6,0.001349932
US National,Season peak percentage,Bin,percent,10.6,10.7,0.001195131
US National,Season peak percentage,Bin,percent,10.7,10.8,0.001040383
US National,Season peak percentage,Bin,percent,10.8,10.9,0.001813221
US National,Season peak percentage,Bin,percent,10.9,11,0.00150395
US National,Season peak percentage,Bin,percent,11,11.1,0.001349293
US National,Season peak percentage,Bin,percent,11.1,11.2,0.001349242
US National,Season peak percentage,Bin,percent,11.2,11.3,0.001503795
US National,Season peak percentage,Bin,percent,11.3,11.4,0.001039994
US National,Season peak percentage,Bin,percent,11.4,11.5,0.001039972
US National,Season peak percentage,Bin,percent,11.5,11.6,0.001194546
US National,Season peak percentage,Bin,percent,11.6,11.7,0.001039943
US National,Season peak percentage,Bin,percent,11.7,11.8,0.001039933
US National,Season peak percentage,Bin,percent,11.8,11.9,0.001812881
US National,Season peak percentage,Bin,percent,11.9,12,0.001194511
US National,Season peak percentage,Bin,percent,12,12.1,0.001039916
US National,Season peak percentage,Bin,percent,12.1,12.2,0.001349095
US National,Season peak percentage,Bin,percent,12.2,12.3,0.00103991
US National,Season peak percentage,Bin,percent,12.3,12.4,0.001039908
US National,Season peak percentage,Bin,percent,12.4,12.5,0.001039906
US National,Season peak percentage,Bin,percent,12.5,12.6,0.001039905
US National,Season peak percentage,Bin,percent,12.6,12.7,0.001039904
US National,Season peak percentage,Bin,percent,12.7,12.8,0.001039904
US National,Season peak percentage,Bin,percent,12.8,12.9,0.001039903
US National,Season peak percentage,Bin,percent,12.9,13,0.001039903
US National,Season peak percentage,Bin,percent,13,100,0.001658272
US National,1 wk ahead,Point,percent,NA,NA,3.662182
US National,1 wk ahead,Bin,percent,0,0.1,0.000343652
US National,1 wk ahead,Bin,percent,0.1,0.2,0.000343652
US National,1 wk ahead,Bin,percent,0.2,0.3,0.000343652
US National,1 wk ahead,Bin,percent,0.3,0.4,0.000343652
US National,1 wk ahead,Bin,percent,0.4,0.5,0.000343652
US National,1 wk ahead,Bin,percent,0.5,0.6,0.000343652
US National,1 wk ahead,Bin,percent,0.6,0.7,0.000343652
US National,1 wk ahead,Bin,percent,0.7,0.8,0.000343653
US National,1 wk ahead,Bin,percent,0.8,0.9,0.000343942
US National,1 wk ahead,Bin,percent,0.9,1,0.000344452
US National,1 wk ahead,Bin,percent,1,1.1,0.000344455
US National,1 wk ahead,Bin,percent,1.1,1.2,0.000344461
US National,1 wk ahead,Bin,percent,1.2,1.3,0.000344472
US National,1 wk ahead,Bin,percent,1.3,1.4,0.000344492
US National,1 wk ahead,Bin,percent,1.4,1.5,0.000344529
US National,1 wk ahead,Bin,percent,1.5,1.6,0.000344598
US National,1 wk ahead,Bin,percent,1.6,1.7,0.000344728
US National,1 wk ahead,Bin,percent,1.7,1.8,0.000371585
US National,1 wk ahead,Bin,percent,1.8,1.9,0.000373324
US National,1 wk ahead,Bin,percent,1.9,2,0.00037427
US National,1 wk ahead,Bin,percent,2,2.1,0.000376129
US National,1 wk ahead,Bin,percent,2.1,2.2,0.000508325
US National,1 wk ahead,Bin,percent,2.2,2.3,0.000912517
US National,1 wk ahead,Bin,percent,2.3,2.4,0.00184276
US National,1 wk ahead,Bin,percent,2.4,2.5,0.00260812
US National,1 wk ahead,Bin,percent,2.5,2.6,0.003427013
US National,1 wk ahead,Bin,percent,2.6,2.7,0.004819519
US National,1 wk ahead,Bin,percent,2.7,2.8,0.0047552
US National,1 wk ahead,Bin,percent,2.8,2.9,0.005277307
US National,1 wk ahead,Bin,percent,2.9,3,0.005704702
US National,1 wk ahead,Bin,percent,3,3.1,0.007391866
US National,1 wk ahead,Bin,percent,3.1,3.2,0.010178941
US National,1 wk ahead,Bin,percent,3.2,3.3,0.019701253
US National,1 wk ahead,Bin,percent,3.3,3.4,0.050196192
US National,1 wk ahead,Bin,percent,3.4,3.5,0.074742508
US National,1 wk ahead,Bin,percent,3.5,3.6,0.114250413
US National,1 wk ahead,Bin,percent,3.6,3.7,0.146206614
US National,1 wk ahead,Bin,percent,3.7,3.8,0.142568005
US National,1 wk ahead,Bin,percent,3.8,3.9,0.105190901
US National,1 wk ahead,Bin,percent,3.9,4,0.079497573
US National,1 wk ahead,Bin,percent,4,4.1,0.058893569
US National,1 wk ahead,Bin,percent,4.1,4.2,0.041459073
US National,1 wk ahead,Bin,percent,4.2,4.3,0.026356462
US National,1 wk ahead,Bin,percent,4.3,4.4,0.01715438
US National,1 wk ahead,Bin,percent,4.4,4.5,0.010752693
US National,1 wk ahead,Bin,percent,4.5,4.6,0.009462638
US National,1 wk ahead,Bin,percent,4.6,4.7,0.008661099
US National,1 wk ahead,Bin,percent,4.7,4.8,0.005200253
US National,1 wk ahead,Bin,percent,4.8,4.9,0.004334392
US National,1 wk ahead,Bin,percent,4.9,5,0.001328801
US National,1 wk ahead,Bin,percent,5,5.1,0.001016823
US National,1 wk ahead,Bin,percent,5.1,5.2,0.000540096
US National,1 wk ahead,Bin,percent,5.2,5.3,0.000518759
US National,1 wk ahead,Bin,percent,5.3,5.4,0.000456379
US National,1 wk ahead,Bin,percent,5.4,5.5,0.000356971
US National,1 wk ahead,Bin,percent,5.5,5.6,0.000352444
US National,1 wk ahead,Bin,percent,5.6,5.7,0.000350154
US National,1 wk ahead,Bin,percent,5.7,5.8,0.000348989
US National,1 wk ahead,Bin,percent,5.8,5.9,0.000348394
US National,1 wk ahead,Bin,percent,5.9,6,0.000348087
US National,1 wk ahead,Bin,percent,6,6.1,0.000347927
US National,1 wk ahead,Bin,percent,6.1,6.2,0.00037123
US National,1 wk ahead,Bin,percent,6.2,6.3,0.000377829
US National,1 wk ahead,Bin,percent,6.3,6.4,0.000377805
US National,1 wk ahead,Bin,percent,6.4,6.5,0.000377792
US National,1 wk ahead,Bin,percent,6.5,6.6,0.000355997
US National,1 wk ahead,Bin,percent,6.6,6.7,0.000351036
US National,1 wk ahead,Bin,percent,6.7,6.8,0.000351034
US National,1 wk ahead,Bin,percent,6.8,6.9,0.000351033
US National,1 wk ahead,Bin,percent,6.9,7,0.000351032
US National,1 wk ahead,Bin,percent,7,7.1,0.000351032
US National,1 wk ahead,Bin,percent,7.1,7.2,0.000351032
US National,1 wk ahead,Bin,percent,7.2,7.3,0.000344887
US National,1 wk ahead,Bin,percent,7.3,7.4,0.000344436
US National,1 wk ahead,Bin,percent,7.4,7.5,0.000344436
US National,1 wk ahead,Bin,percent,7.5,7.6,0.000344436
US National,1 wk ahead,Bin,percent,7.6,7.7,0.000344436
US National,1 wk ahead,Bin,percent,7.7,7.8,0.000344436
US National,1 wk ahead,Bin,percent,7.8,7.9,0.000344436
US National,1 wk ahead,Bin,percent,7.9,8,0.000344436
US National,1 wk ahead,Bin,percent,8,8.1,0.000344437
US National,1 wk ahead,Bin,percent,8.1,8.2,0.000344437
US National,1 wk ahead,Bin,percent,8.2,8.3,0.000344437
US National,1 wk ahead,Bin,percent,8.3,8.4,0.000344437
US National,1 wk ahead,Bin,percent,8.4,8.5,0.000344437
US National,1 wk ahead,Bin,percent,8.5,8.6,0.000344437
US National,1 wk ahead,Bin,percent,8.6,8.7,0.000344437
US National,1 wk ahead,Bin,percent,8.7,8.8,0.000344437
US National,1 wk ahead,Bin,percent,8.8,8.9,0.000344437
US National,1 wk ahead,Bin,percent,8.9,9,0.000344437
US National,1 wk ahead,Bin,percent,9,9.1,0.000344437
US National,1 wk ahead,Bin,percent,9.1,9.2,0.000344437
US National,1 wk ahead,Bin,percent,9.2,9.3,0.000344437
US National,1 wk ahead,Bin,percent,9.3,9.4,0.000344437
US National,1 wk ahead,Bin,percent,9.4,9.5,0.000344437
US National,1 wk ahead,Bin,percent,9.5,9.6,0.000344437
US National,1 wk ahead,Bin,percent,9.6,9.7,0.000344437
US National,1 wk ahead,Bin,percent,9.7,9.8,0.000344436
US National,1 wk ahead,Bin,percent,9.8,9.9,0.000344436
US National,1 wk ahead,Bin,percent,9.9,10,0.000344436
US National,1 wk ahead,Bin,percent,10,10.1,0.000344436
US National,1 wk ahead,Bin,percent,10.1,10.2,0.000344436
US National,1 wk ahead,Bin,percent,10.2,10.3,0.000344436
US National,1 wk ahead,Bin,percent,10.3,10.4,0.000344436
US National,1 wk ahead,Bin,percent,10.4,10.5,0.000344436
US National,1 wk ahead,Bin,percent,10.5,10.6,0.000344437
US National,1 wk ahead,Bin,percent,10.6,10.7,0.000344438
US National,1 wk ahead,Bin,percent,10.7,10.8,0.000344438
US National,1 wk ahead,Bin,percent,10.8,10.9,0.000344438
US National,1 wk ahead,Bin,percent,10.9,11,0.000344438
US National,1 wk ahead,Bin,percent,11,11.1,0.000344438
US National,1 wk ahead,Bin,percent,11.1,11.2,0.000344438
US National,1 wk ahead,Bin,percent,11.2,11.3,0.000344438
US National,1 wk ahead,Bin,percent,11.3,11.4,0.000344438
US National,1 wk ahead,Bin,percent,11.4,11.5,0.000344436
US National,1 wk ahead,Bin,percent,11.5,11.6,0.000344436
US National,1 wk ahead,Bin,percent,11.6,11.7,0.000344436
US National,1 wk ahead,Bin,percent,11.7,11.8,0.000344436
US National,1 wk ahead,Bin,percent,11.8,11.9,0.000344436
US National,1 wk ahead,Bin,percent,11.9,12,0.000344436
US National,1 wk ahead,Bin,percent,12,12.1,0.000344436
US National,1 wk ahead,Bin,percent,12.1,12.2,0.000344436
US National,1 wk ahead,Bin,percent,12.2,12.3,0.000344334
US National,1 wk ahead,Bin,percent,12.3,12.4,0.00034422
US National,1 wk ahead,Bin,percent,12.4,12.5,0.00034422
US National,1 wk ahead,Bin,percent,12.5,12.6,0.00034422
US National,1 wk ahead,Bin,percent,12.6,12.7,0.00034422
US National,1 wk ahead,Bin,percent,12.7,12.8,0.00034422
US National,1 wk ahead,Bin,percent,12.8,12.9,0.00034422
US National,1 wk ahead,Bin,percent,12.9,13,0.00034422
US National,1 wk ahead,Bin,percent,13,100,0.00034422
US National,2 wk ahead,Point,percent,NA,NA,4.219182
US National,2 wk ahead,Bin,percent,0,0.1,0.000331023
US National,2 wk ahead,Bin,percent,0.1,0.2,0.00033105
US National,2 wk ahead,Bin,percent,0.2,0.3,0.000331089
US National,2 wk ahead,Bin,percent,0.3,0.4,0.000331145
US National,2 wk ahead,Bin,percent,0.4,0.5,0.000331225
US National,2 wk ahead,Bin,percent,0.5,0.6,0.00033134
US National,2 wk ahead,Bin,percent,0.6,0.7,0.000331508
US National,2 wk ahead,Bin,percent,0.7,0.8,0.000331753
US National,2 wk ahead,Bin,percent,0.8,0.9,0.00033211
US National,2 wk ahead,Bin,percent,0.9,1,0.000332633
US National,2 wk ahead,Bin,percent,1,1.1,0.000334191
US National,2 wk ahead,Bin,percent,1.1,1.2,0.000355901
US National,2 wk ahead,Bin,percent,1.2,1.3,0.000357562
US National,2 wk ahead,Bin,percent,1.3,1.4,0.000360011
US National,2 wk ahead,Bin,percent,1.4,1.5,0.000363625
US National,2 wk ahead,Bin,percent,1.5,1.6,0.000368963
US National,2 wk ahead,Bin,percent,1.6,1.7,0.00042374
US National,2 wk ahead,Bin,percent,1.7,1.8,0.000512532
US National,2 wk ahead,Bin,percent,1.8,1.9,0.000664395
US National,2 wk ahead,Bin,percent,1.9,2,0.000971513
US National,2 wk ahead,Bin,percent,2,2.1,0.001012163
US National,2 wk ahead,Bin,percent,2.1,2.2,0.001443743
US National,2 wk ahead,Bin,percent,2.2,2.3,0.001385652
US National,2 wk ahead,Bin,percent,2.3,2.4,0.001772483
US National,2 wk ahead,Bin,percent,2.4,2.5,0.002256845
US National,2 wk ahead,Bin,percent,2.5,2.6,0.003070567
US National,2 wk ahead,Bin,percent,2.6,2.7,0.004394515
US National,2 wk ahead,Bin,percent,2.7,2.8,0.004776
US National,2 wk ahead,Bin,percent,2.8,2.9,0.006294133
US National,2 wk ahead,Bin,percent,2.9,3,0.008380533
US National,2 wk ahead,Bin,percent,3,3.1,0.009592719
US National,2 wk ahead,Bin,percent,3.1,3.2,0.012516739
US National,2 wk ahead,Bin,percent,3.2,3.3,0.013807845
US National,2 wk ahead,Bin,percent,3.3,3.4,0.016308865
US National,2 wk ahead,Bin,percent,3.4,3.5,0.021509376
US National,2 wk ahead,Bin,percent,3.5,3.6,0.026142923
US National,2 wk ahead,Bin,percent,3.6,3.7,0.034054903
US National,2 wk ahead,Bin,percent,3.7,3.8,0.040940159
US National,2 wk ahead,Bin,percent,3.8,3.9,0.046384144
US National,2 wk ahead,Bin,percent,3.9,4,0.050508004
US National,2 wk ahead,Bin,percent,4,4.1,0.057070855
US National,2 wk ahead,Bin,percent,4.1,4.2,0.061045212
US National,2 wk ahead,Bin,percent,4.2,4.3,0.072051048
US National,2 wk ahead,Bin,percent,4.3,4.4,0.07704634
US National,2 wk ahead,Bin,percent,4.4,4.5,0.075536974
US National,2 wk ahead,Bin,percent,4.5,4.6,0.068157501
US National,2 wk ahead,Bin,percent,4.6,4.7,0.055949746
US National,2 wk ahead,Bin,percent,4.7,4.8,0.043877131
US National,2 wk ahead,Bin,percent,4.8,4.9,0.033748966
US National,2 wk ahead,Bin,percent,4.9,5,0.024180119
US National,2 wk ahead,Bin,percent,5,5.1,0.02126049
US National,2 wk ahead,Bin,percent,5.1,5.2,0.016211563
US National,2 wk ahead,Bin,percent,5.2,5.3,0.013210471
US National,2 wk ahead,Bin,percent,5.3,5.4,0.009434783
US National,2 wk ahead,Bin,percent,5.4,5.5,0.00732045
US National,2 wk ahead,Bin,percent,5.5,5.6,0.005095719
US National,2 wk ahead,Bin,percent,5.6,5.7,0.00370131
US National,2 wk ahead,Bin,percent,5.7,5.8,0.003041195
US National,2 wk ahead,Bin,percent,5.8,5.9,0.00225197
US National,2 wk ahead,Bin,percent,5.9,6,0.00177993
US National,2 wk ahead,Bin,percent,6,6.1,0.001987593
US National,2 wk ahead,Bin,percent,6.1,6.2,0.001763508
US National,2 wk ahead,Bin,percent,6.2,6.3,0.001917729
US National,2 wk ahead,Bin,percent,6.3,6.4,0.002465601
US National,2 wk ahead,Bin,percent,6.4,6.5,0.001021189
US National,2 wk ahead,Bin,percent,6.5,6.6,0.001163411
US National,2 wk ahead,Bin,percent,6.6,6.7,0.00061398
US National,2 wk ahead,Bin,percent,6.7,6.8,0.000522756
US National,2 wk ahead,Bin,percent,6.8,6.9,0.000543441
US National,2 wk ahead,Bin,percent,6.9,7,0.000435651
US National,2 wk ahead,Bin,percent,7,7.1,0.000415283
US National,2 wk ahead,Bin,percent,7.1,7.2,0.000412438
US National,2 wk ahead,Bin,percent,7.2,7.3,0.000419183
US National,2 wk ahead,Bin,percent,7.3,7.4,0.000416968
US National,2 wk ahead,Bin,percent,7.4,7.5,0.000371833
US National,2 wk ahead,Bin,percent,7.5,7.6,0.000357264
US National,2 wk ahead,Bin,percent,7.6,7.7,0.00035657
US National,2 wk ahead,Bin,percent,7.7,7.8,0.000356096
US National,2 wk ahead,Bin,percent,7.8,7.9,0.000355772
US National,2 wk ahead,Bin,percent,7.9,8,0.000345984
US National,2 wk ahead,Bin,percent,8,8.1,0.000333254
US National,2 wk ahead,Bin,percent,8.1,8.2,0.000333149
US National,2 wk ahead,Bin,percent,8.2,8.3,0.000333076
US National,2 wk ahead,Bin,percent,8.3,8.4,0.000333025
US National,2 wk ahead,Bin,percent,8.4,8.5,0.00033299
US National,2 wk ahead,Bin,percent,8.5,8.6,0.000332965
US National,2 wk ahead,Bin,percent,8.6,8.7,0.000332948
US National,2 wk ahead,Bin,percent,8.7,8.8,0.000332936
US National,2 wk ahead,Bin,percent,8.8,8.9,0.000332927
US National,2 wk ahead,Bin,percent,8.9,9,0.000340973
US National,2 wk ahead,Bin,percent,9,9.1,0.000357199
US National,2 wk ahead,Bin,percent,9.1,9.2,0.000357196
US National,2 wk ahead,Bin,percent,9.2,9.3,0.000357194
US National,2 wk ahead,Bin,percent,9.3,9.4,0.000357192
US National,2 wk ahead,Bin,percent,9.4,9.5,0.000351725
US National,2 wk ahead,Bin,percent,9.5,9.6,0.000333733
US National,2 wk ahead,Bin,percent,9.6,9.7,0.000333733
US National,2 wk ahead,Bin,percent,9.7,9.8,0.000333732
US National,2 wk ahead,Bin,percent,9.8,9.9,0.000333732
US National,2 wk ahead,Bin,percent,9.9,10,0.000333732
US National,2 wk ahead,Bin,percent,10,10.1,0.000333732
US National,2 wk ahead,Bin,percent,10.1,10.2,0.000333731
US National,2 wk ahead,Bin,percent,10.2,10.3,0.000333731
US National,2 wk ahead,Bin,percent,10.3,10.4,0.000333731
US National,2 wk ahead,Bin,percent,10.4,10.5,0.00033193
US National,2 wk ahead,Bin,percent,10.5,10.6,0.000329804
US National,2 wk ahead,Bin,percent,10.6,10.7,0.000329804
US National,2 wk ahead,Bin,percent,10.7,10.8,0.000329804
US National,2 wk ahead,Bin,percent,10.8,10.9,0.000329804
US National,2 wk ahead,Bin,percent,10.9,11,0.000329804
US National,2 wk ahead,Bin,percent,11,11.1,0.000329804
US National,2 wk ahead,Bin,percent,11.1,11.2,0.000329804
US National,2 wk ahead,Bin,percent,11.2,11.3,0.000329803
US National,2 wk ahead,Bin,percent,11.3,11.4,0.000329803
US National,2 wk ahead,Bin,percent,11.4,11.5,0.000329803
US National,2 wk ahead,Bin,percent,11.5,11.6,0.000329803
US National,2 wk ahead,Bin,percent,11.6,11.7,0.00033266
US National,2 wk ahead,Bin,percent,11.7,11.8,0.00033294
US National,2 wk ahead,Bin,percent,11.8,11.9,0.00033294
US National,2 wk ahead,Bin,percent,11.9,12,0.00033294
US National,2 wk ahead,Bin,percent,12,12.1,0.00033294
US National,2 wk ahead,Bin,percent,12.1,12.2,0.00033294
