Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,
US National,1 wk ahead,Bin,percent,10.1,10.2,0.000525142
US National,1 wk ahead,Bin,percent,10.2,10.3,0.000525141
US National,1 wk ahead,Bin,percent,10.3,10.4,0.000525141
US National,1 wk ahead,Bin,percent,10.4,10.5,0.000525141
US National,1 wk ahead,Bin,percent,10.5,10.6,0.000525141
US National,1 wk ahead,Bin,percent,10.6,10.7,0.000525141
US National,1 wk ahead,Bin,percent,10.7,10.8,0.00052514
US National,1 wk ahead,Bin,percent,10.8,10.9,0.00052514
US National,1 wk ahead,Bin,percent,10.9,11,0.00052514
US National,1 wk ahead,Bin,percent,11,11.1,0.00052514
US National,1 wk ahead,Bin,percent,11.1,11.2,0.00052514
US National,1 wk ahead,Bin,percent,11.2,11.3,0.00052514
US National,1 wk ahead,Bin,percent,11.3,11.4,0.00052514
US National,1 wk ahead,Bin,percent,11.4,11.5,0.00052514
US National,1 wk ahead,Bin,percent,11.5,11.6,0.00052514
US National,1 wk ahead,Bin,percent,11.6,11.7,0.00052514
US National,1 wk ahead,Bin,percent,11.7,11.8,0.00052514
US National,1 wk ahead,Bin,percent,11.8,11.9,0.00052514
US National,1 wk ahead,Bin,percent,11.9,12,0.00052514
US National,1 wk ahead,Bin,percent,12,12.1,0.00052514
US National,1 wk ahead,Bin,percent,12.1,12.2,0.00052514
US National,1 wk ahead,Bin,percent,12.2,12.3,0.00052514
US National,1 wk ahead,Bin,percent,12.3,12.4,0.00052514
US National,1 wk ahead,Bin,percent,12.4,12.5,0.00052514
US National,1 wk ahead,Bin,percent,12.5,12.6,0.00052514
US National,1 wk ahead,Bin,percent,12.6,12.7,0.00052514
US National,1 wk ahead,Bin,percent,12.7,12.8,0.00052514
US National,1 wk ahead,Bin,percent,12.8,12.9,0.00052514
US National,1 wk ahead,Bin,percent,12.9,13,0.00052514
US National,1 wk ahead,Bin,percent,13,100,0.00052514
US National,2 wk ahead,Point,percent,NA,NA,4.0645
US National,2 wk ahead,Bin,percent,0,0.1,0.000806298
US National,2 wk ahead,Bin,percent,0.1,0.2,0.000806308
US National,2 wk ahead,Bin,percent,0.2,0.3,0.000806322
US National,2 wk ahead,Bin,percent,0.3,0.4,0.000806342
US National,2 wk ahead,Bin,percent,0.4,0.5,0.00080637
US National,2 wk ahead,Bin,percent,0.5,0.6,0.000806409
US National,2 wk ahead,Bin,percent,0.6,0.7,0.000806465
US National,2 wk ahead,Bin,percent,0.7,0.8,0.000806544
US National,2 wk ahead,Bin,percent,0.8,0.9,0.000806658
US National,2 wk ahead,Bin,percent,0.9,1,0.000806821
US National,2 wk ahead,Bin,percent,1,1.1,0.000807057
US National,2 wk ahead,Bin,percent,1.1,1.2,0.000807399
US National,2 wk ahead,Bin,percent,1.2,1.3,0.000807898
US National,2 wk ahead,Bin,percent,1.3,1.4,0.000808626
US National,2 wk ahead,Bin,percent,1.4,1.5,0.000809695
US National,2 wk ahead,Bin,percent,1.5,1.6,0.00083529
US National,2 wk ahead,Bin,percent,1.6,1.7,0.000997675
US National,2 wk ahead,Bin,percent,1.7,1.8,0.001225223
US National,2 wk ahead,Bin,percent,1.8,1.9,0.001537524
US National,2 wk ahead,Bin,percent,1.9,2,0.001957259
US National,2 wk ahead,Bin,percent,2,2.1,0.00250959
US National,2 wk ahead,Bin,percent,2.1,2.2,0.003221083
US National,2 wk ahead,Bin,percent,2.2,2.3,0.004118136
US National,2 wk ahead,Bin,percent,2.3,2.4,0.00522497
US National,2 wk ahead,Bin,percent,2.4,2.5,0.006561342
US National,2 wk ahead,Bin,percent,2.5,2.6,0.008140242
US National,2 wk ahead,Bin,percent,2.6,2.7,0.009965928
US National,2 wk ahead,Bin,percent,2.7,2.8,0.012032731
US National,2 wk ahead,Bin,percent,2.8,2.9,0.01432501
US National,2 wk ahead,Bin,percent,2.9,3,0.016818531
US National,2 wk ahead,Bin,percent,3,3.1,0.019483272
US National,2 wk ahead,Bin,percent,3.1,3.2,0.022287259
US National,2 wk ahead,Bin,percent,3.2,3.3,0.025200522
US National,2 wk ahead,Bin,percent,3.3,3.4,0.028197784
US National,2 wk ahead,Bin,percent,3.4,3.5,0.031258167
US National,2 wk ahead,Bin,percent,3.5,3.6,0.034360365
US National,2 wk ahead,Bin,percent,3.6,3.7,0.037472564
US National,2 wk ahead,Bin,percent,3.7,3.8,0.04053815
US National,2 wk ahead,Bin,percent,3.8,3.9,0.043460575
US National,2 wk ahead,Bin,percent,3.9,4,0.046093036
US National,2 wk ahead,Bin,percent,4,4.1,0.048239628
US National,2 wk ahead,Bin,percent,4.1,4.2,0.049673063
US National,2 wk ahead,Bin,percent,4.2,4.3,0.050169472
US National,2 wk ahead,Bin,percent,4.3,4.4,0.049554243
US National,2 wk ahead,Bin,percent,4.4,4.5,0.047746864
US National,2 wk ahead,Bin,percent,4.5,4.6,0.044790597
US National,2 wk ahead,Bin,percent,4.6,4.7,0.040856264
US National,2 wk ahead,Bin,percent,4.7,4.8,0.036217635
US National,2 wk ahead,Bin,percent,4.8,4.9,0.031205377
US National,2 wk ahead,Bin,percent,4.9,5,0.026152998
US National,2 wk ahead,Bin,percent,5,5.1,0.021349189
US National,2 wk ahead,Bin,percent,5.1,5.2,0.01700677
US National,2 wk ahead,Bin,percent,5.2,5.3,0.013251668
US National,2 wk ahead,Bin,percent,5.3,5.4,0.010129178
US National,2 wk ahead,Bin,percent,5.4,5.5,0.007621229
US National,2 wk ahead,Bin,percent,5.5,5.6,0.00566778
US National,2 wk ahead,Bin,percent,5.6,5.7,0.004186971
US National,2 wk ahead,Bin,percent,5.7,5.8,0.003090993
US National,2 wk ahead,Bin,percent,5.8,5.9,0.00229673
US National,2 wk ahead,Bin,percent,5.9,6,0.001805451
US National,2 wk ahead,Bin,percent,6,6.1,0.001491031
US National,2 wk ahead,Bin,percent,6.1,6.2,0.001272523
US National,2 wk ahead,Bin,percent,6.2,6.3,0.001122181
US National,2 wk ahead,Bin,percent,6.3,6.4,0.001019562
US National,2 wk ahead,Bin,percent,6.4,6.5,0.000949948
US National,2 wk ahead,Bin,percent,6.5,6.6,0.000902939
US National,2 wk ahead,Bin,percent,6.6,6.7,0.000871294
US National,2 wk ahead,Bin,percent,6.7,6.8,0.000850035
US National,2 wk ahead,Bin,percent,6.8,6.9,0.000835765
US National,2 wk ahead,Bin,percent,6.9,7,0.000826187
US National,2 wk ahead,Bin,percent,7,7.1,0.000819753
US National,2 wk ahead,Bin,percent,7.1,7.2,0.000815424
US National,2 wk ahead,Bin,percent,7.2,7.3,0.000812505
US National,2 wk ahead,Bin,percent,7.3,7.4,0.000810533
US National,2 wk ahead,Bin,percent,7.4,7.5,0.000809196
US National,2 wk ahead,Bin,percent,7.5,7.6,0.000808286
US National,2 wk ahead,Bin,percent,7.6,7.7,0.000807665
US National,2 wk ahead,Bin,percent,7.7,7.8,0.00080724
US National,2 wk ahead,Bin,percent,7.8,7.9,0.000806947
US National,2 wk ahead,Bin,percent,7.9,8,0.000806745
US National,2 wk ahead,Bin,percent,8,8.1,0.000806605
US National,2 wk ahead,Bin,percent,8.1,8.2,0.000806507
US National,2 wk ahead,Bin,percent,8.2,8.3,0.000806439
US National,2 wk ahead,Bin,percent,8.3,8.4,0.000806391
US National,2 wk ahead,Bin,percent,8.4,8.5,0.000806357
US National,2 wk ahead,Bin,percent,8.5,8.6,0.000806333
US National,2 wk ahead,Bin,percent,8.6,8.7,0.000806316
US National,2 wk ahead,Bin,percent,8.7,8.8,0.000806303
US National,2 wk ahead,Bin,percent,8.8,8.9,0.000806294
US National,2 wk ahead,Bin,percent,8.9,9,0.000806288
US National,2 wk ahead,Bin,percent,9,9.1,0.000806283
US National,2 wk ahead,Bin,percent,9.1,9.2,0.00080628
US National,2 wk ahead,Bin,percent,9.2,9.3,0.000806278
US National,2 wk ahead,Bin,percent,9.3,9.4,0.000806276
US National,2 wk ahead,Bin,percent,9.4,9.5,0.000806274
US National,2 wk ahead,Bin,percent,9.5,9.6,0.000806273
US National,2 wk ahead,Bin,percent,9.6,9.7,0.000806273
US National,2 wk ahead,Bin,percent,9.7,9.8,0.000806272
US National,2 wk ahead,Bin,percent,9.8,9.9,0.000806272
US National,2 wk ahead,Bin,percent,9.9,10,0.000806271
US National,2 wk ahead,Bin,percent,10,10.1,0.000806271
US National,2 wk ahead,Bin,percent,10.1,10.2,0.000806271
US National,2 wk ahead,Bin,percent,10.2,10.3,0.000806271
US National,2 wk ahead,Bin,percent,10.3,10.4,0.000806271
US National,2 wk ahead,Bin,percent,10.4,10.5,0.000806271
US National,2 wk ahead,Bin,percent,10.5,10.6,0.000806271
US National,2 wk ahead,Bin,percent,10.6,10.7,0.000806271
US National,2 wk ahead,Bin,percent,10.7,10.8,0.000806271
US National,2 wk ahead,Bin,percent,10.8,10.9,0.000806271
US National,2 wk ahead,Bin,percent,10.9,11,0.000806271
US National,2 wk ahead,Bin,percent,11,11.1,0.000806271
US National,2 wk ahead,Bin,percent,11.1,11.2,0.000806271
US National,2 wk ahead,Bin,percent,11.2,11.3,0.000806271
US National,2 wk ahead,Bin,percent,11.3,11.4,0.000806271
US National,2 wk ahead,Bin,percent,11.4,11.5,0.000806271
US National,2 wk ahead,Bin,percent,11.5,11.6,0.000806271
US National,2 wk ahead,Bin,percent,11.6,11.7,0.000806271
US National,2 wk ahead,Bin,percent,11.7,11.8,0.000806271
US National,2 wk ahead,Bin,percent,11.8,11.9,0.000806271
US National,2 wk ahead,Bin,percent,11.9,12,0.00080627
US National,2 wk ahead,Bin,percent,12,12.1,0.00080627
US National,2 wk ahead,Bin,percent,12.1,12.2,0.00080627
US National,2 wk ahead,Bin,percent,12.2,12.3,0.00080627
US National,2 wk ahead,Bin,percent,12.3,12.4,0.00080627
US National,2 wk ahead,Bin,percent,12.4,12.5,0.00080627
US National,2 wk ahead,Bin,percent,12.5,12.6,0.00080627
US National,2 wk ahead,Bin,percent,12.6,12.7,0.00080627
