Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value,
US National,Season peak percentage,Bin,percent,4.4,4.5,0.035259478,
US National,Season peak percentage,Bin,percent,4.5,4.6,0.03818897,
US National,Season peak percentage,Bin,percent,4.6,4.7,0.040755571,
US National,Season peak percentage,Bin,percent,4.7,4.8,0.042612552,
US National,Season peak percentage,Bin,percent,4.8,4.9,0.043537268,
US National,Season peak percentage,Bin,percent,4.9,5,0.044003657,
US National,Season peak percentage,Bin,percent,5,5.1,0.043526002,
US National,Season peak percentage,Bin,percent,5.1,5.2,0.042651559,
US National,Season peak percentage,Bin,percent,5.2,5.3,0.041287193,
US National,Season peak percentage,Bin,percent,5.3,5.4,0.039269062,
US National,Season peak percentage,Bin,percent,5.4,5.5,0.037127128,
US National,Season peak percentage,Bin,percent,5.5,5.6,0.034041566,
US National,Season peak percentage,Bin,percent,5.6,5.7,0.031042803,
US National,Season peak percentage,Bin,percent,5.7,5.8,0.028305824,
US National,Season peak percentage,Bin,percent,5.8,5.9,0.025336451,
US National,Season peak percentage,Bin,percent,5.9,6,0.023037991,
US National,Season peak percentage,Bin,percent,6,6.1,0.019878052,
US National,Season peak percentage,Bin,percent,6.1,6.2,0.017737025,
US National,Season peak percentage,Bin,percent,6.2,6.3,0.015464425,
US National,Season peak percentage,Bin,percent,6.3,6.4,0.013496903,
US National,Season peak percentage,Bin,percent,6.4,6.5,0.011252699,
US National,Season peak percentage,Bin,percent,6.5,6.6,0.009809737,
US National,Season peak percentage,Bin,percent,6.6,6.7,0.008404137,
US National,Season peak percentage,Bin,percent,6.7,6.8,0.007020375,
US National,Season peak percentage,Bin,percent,6.8,6.9,0.006224965,
US National,Season peak percentage,Bin,percent,6.9,7,0.005086153,
US National,Season peak percentage,Bin,percent,7,7.1,0.004578552,
US National,Season peak percentage,Bin,percent,7.1,7.2,0.003941893,
US National,Season peak percentage,Bin,percent,7.2,7.3,0.003317681,
US National,Season peak percentage,Bin,percent,7.3,7.4,0.002781529,
US National,Season peak percentage,Bin,percent,7.4,7.5,0.002485577,
US National,Season peak percentage,Bin,percent,7.5,7.6,0.002418675,
US National,Season peak percentage,Bin,percent,7.6,7.7,0.002062715,
US National,Season peak percentage,Bin,percent,7.7,7.8,0.002019875,
US National,Season peak percentage,Bin,percent,7.8,7.9,0.001898842,
US National,Season peak percentage,Bin,percent,7.9,8,0.001626509,
US National,Season peak percentage,Bin,percent,8,8.1,0.001864426,
US National,Season peak percentage,Bin,percent,8.1,8.2,0.001696754,
US National,Season peak percentage,Bin,percent,8.2,8.3,0.001368351,
US National,Season peak percentage,Bin,percent,8.3,8.4,0.001891668,
US National,Season peak percentage,Bin,percent,8.4,8.5,0.001412904,
US National,Season peak percentage,Bin,percent,8.5,8.6,0.000946722,
US National,Season peak percentage,Bin,percent,8.6,8.7,0.001151748,
US National,Season peak percentage,Bin,percent,8.7,8.8,0.001199955,
US National,Season peak percentage,Bin,percent,8.8,8.9,0.001504206,
US National,Season peak percentage,Bin,percent,8.9,9,0.000973102,
US National,Season peak percentage,Bin,percent,9,9.1,0.000867311,
US National,Season peak percentage,Bin,percent,9.1,9.2,0.000847887,
US National,Season peak percentage,Bin,percent,9.2,9.3,0.001250364,
US National,Season peak percentage,Bin,percent,9.3,9.4,0.001151306,
US National,Season peak percentage,Bin,percent,9.4,9.5,0.000806289,
US National,Season peak percentage,Bin,percent,9.5,9.6,0.001047527,
US National,Season peak percentage,Bin,percent,9.6,9.7,0.001292753,
US National,Season peak percentage,Bin,percent,9.7,9.8,0.000947594,
US National,Season peak percentage,Bin,percent,9.8,9.9,0.001363451,
US National,Season peak percentage,Bin,percent,9.9,10,0.001190912,
US National,Season peak percentage,Bin,percent,10,10.1,0.000768336,
US National,Season peak percentage,Bin,percent,10.1,10.2,0.000933275,
US National,Season peak percentage,Bin,percent,10.2,10.3,0.001347085,
US National,Season peak percentage,Bin,percent,10.3,10.4,0.000928681,
US National,Season peak percentage,Bin,percent,10.4,10.5,0.001345824,
US National,Season peak percentage,Bin,percent,10.5,10.6,0.001259118,
US National,Season peak percentage,Bin,percent,10.6,10.7,0.001089978,
US National,Season peak percentage,Bin,percent,10.7,10.8,0.000923546,
US National,Season peak percentage,Bin,percent,10.8,10.9,0.000920289,
US National,Season peak percentage,Bin,percent,10.9,11,0.00075417,
US National,Season peak percentage,Bin,percent,11,11.1,0.000921683,
US National,Season peak percentage,Bin,percent,11.1,11.2,0.000836082,
US National,Season peak percentage,Bin,percent,11.2,11.3,0.001086457,
US National,Season peak percentage,Bin,percent,11.3,11.4,0.000837991,
US National,Season peak percentage,Bin,percent,11.4,11.5,0.000835268,
US National,Season peak percentage,Bin,percent,11.5,11.6,0.001168614,
US National,Season peak percentage,Bin,percent,11.6,11.7,0.001088156,
US National,Season peak percentage,Bin,percent,11.7,11.8,0.000920029,
US National,Season peak percentage,Bin,percent,11.8,11.9,0.001255963,
US National,Season peak percentage,Bin,percent,11.9,12,0.00108787,
US National,Season peak percentage,Bin,percent,12,12.1,0.001002617,
US National,Season peak percentage,Bin,percent,12.1,12.2,0.001085255,
US National,Season peak percentage,Bin,percent,12.2,12.3,0.001000016,
US National,Season peak percentage,Bin,percent,12.3,12.4,0.001004996,
US National,Season peak percentage,Bin,percent,12.4,12.5,0.00142118,
US National,Season peak percentage,Bin,percent,12.5,12.6,0.000834428,
US National,Season peak percentage,Bin,percent,12.6,12.7,0.001085115,
US National,Season peak percentage,Bin,percent,12.7,12.8,0.000919592,
US National,Season peak percentage,Bin,percent,12.8,12.9,0.0010024,
US National,Season peak percentage,Bin,percent,12.9,13,0.001335905,
US National,Season peak percentage,Bin,percent,13,100,0.001513208,
US National,1 wk ahead,Point,percent,NA,NA,1.653967263,
US National,1 wk ahead,Bin,percent,0,0.1,0.000292897,
US National,1 wk ahead,Bin,percent,0.1,0.2,0.000292897,
US National,1 wk ahead,Bin,percent,0.2,0.3,0.000292897,
US National,1 wk ahead,Bin,percent,0.3,0.4,0.000292897,
US National,1 wk ahead,Bin,percent,0.4,0.5,0.000292897,
US National,1 wk ahead,Bin,percent,0.5,0.6,0.000292897,
US National,1 wk ahead,Bin,percent,0.6,0.7,0.000292898,
US National,1 wk ahead,Bin,percent,0.7,0.8,0.000292901,
US National,1 wk ahead,Bin,percent,0.8,0.9,0.000292928,
US National,1 wk ahead,Bin,percent,0.9,1,0.000293216,
US National,1 wk ahead,Bin,percent,1,1.1,0.000296597,
US National,1 wk ahead,Bin,percent,1.1,1.2,0.000595638,
US National,1 wk ahead,Bin,percent,1.2,1.3,0.002480982,
US National,1 wk ahead,Bin,percent,1.3,1.4,0.044858324,
US National,1 wk ahead,Bin,percent,1.4,1.5,0.165118565,
US National,1 wk ahead,Bin,percent,1.5,1.6,0.34628314,
US National,1 wk ahead,Bin,percent,1.6,1.7,0.186955002,
US National,1 wk ahead,Bin,percent,1.7,1.8,0.073034301,
US National,1 wk ahead,Bin,percent,1.8,1.9,0.027488982,
US National,1 wk ahead,Bin,percent,1.9,2,0.004222854,
US National,1 wk ahead,Bin,percent,2,2.1,0.006437,
US National,1 wk ahead,Bin,percent,2.1,2.2,0.006408839,
US National,1 wk ahead,Bin,percent,2.2,2.3,0.015285067,
US National,1 wk ahead,Bin,percent,2.3,2.4,0.004668807,
US National,1 wk ahead,Bin,percent,2.4,2.5,0.005698331,
US National,1 wk ahead,Bin,percent,2.5,2.6,0.005698326,
US National,1 wk ahead,Bin,percent,2.6,2.7,0.00621304,
US National,1 wk ahead,Bin,percent,2.7,2.8,0.009044469,
US National,1 wk ahead,Bin,percent,2.8,2.9,0.006727897,
US National,1 wk ahead,Bin,percent,2.9,3,0.004411326,
US National,1 wk ahead,Bin,percent,3,3.1,0.004411326,
US National,1 wk ahead,Bin,percent,3.1,3.2,0.003896469,
US National,1 wk ahead,Bin,percent,3.2,3.3,0.007757469,
US National,1 wk ahead,Bin,percent,3.3,3.4,0.00363904,
US National,1 wk ahead,Bin,percent,3.4,3.5,0.004668754,
US National,1 wk ahead,Bin,percent,3.5,3.6,0.004668754,
US National,1 wk ahead,Bin,percent,3.6,3.7,0.00492604,
US National,1 wk ahead,Bin,percent,3.7,3.8,0.005698326,
US National,1 wk ahead,Bin,percent,3.8,3.9,0.00235204,
US National,1 wk ahead,Bin,percent,3.9,4,0.000292897,
US National,1 wk ahead,Bin,percent,4,4.1,0.002094754,
US National,1 wk ahead,Bin,percent,4.1,4.2,0.000292897,
US National,1 wk ahead,Bin,percent,4.2,4.3,0.002094754,
US National,1 wk ahead,Bin,percent,4.3,4.4,0.001065097,
US National,1 wk ahead,Bin,percent,4.4,4.5,0.000292897,
US National,1 wk ahead,Bin,percent,4.5,4.6,0.002094754,
US National,1 wk ahead,Bin,percent,4.6,4.7,0.000292897,
US National,1 wk ahead,Bin,percent,4.7,4.8,0.000292897,
US National,1 wk ahead,Bin,percent,4.8,4.9,0.000292897,
US National,1 wk ahead,Bin,percent,4.9,5,0.000292897,
US National,1 wk ahead,Bin,percent,5,5.1,0.000292897,
US National,1 wk ahead,Bin,percent,5.1,5.2,0.000292897,
US National,1 wk ahead,Bin,percent,5.2,5.3,0.000292897,
US National,1 wk ahead,Bin,percent,5.3,5.4,0.000292897,
US National,1 wk ahead,Bin,percent,5.4,5.5,0.000292897,
US National,1 wk ahead,Bin,percent,5.5,5.6,0.000292897,
US National,1 wk ahead,Bin,percent,5.6,5.7,0.000292897,
US National,1 wk ahead,Bin,percent,5.7,5.8,0.000292897,
US National,1 wk ahead,Bin,percent,5.8,5.9,0.000292897,
US National,1 wk ahead,Bin,percent,5.9,6,0.000292897,
US National,1 wk ahead,Bin,percent,6,6.1,0.000292897,
US National,1 wk ahead,Bin,percent,6.1,6.2,0.000292897,
US National,1 wk ahead,Bin,percent,6.2,6.3,0.000292897,
US National,1 wk ahead,Bin,percent,6.3,6.4,0.000292897,
US National,1 wk ahead,Bin,percent,6.4,6.5,0.000292897,
US National,1 wk ahead,Bin,percent,6.5,6.6,0.000292897,
US National,1 wk ahead,Bin,percent,6.6,6.7,0.000292897,
US National,1 wk ahead,Bin,percent,6.7,6.8,0.000292897,
US National,1 wk ahead,Bin,percent,6.8,6.9,0.000292897,
US National,1 wk ahead,Bin,percent,6.9,7,0.000292897,
US National,1 wk ahead,Bin,percent,7,7.1,0.000292897,
US National,1 wk ahead,Bin,percent,7.1,7.2,0.000292897,
US National,1 wk ahead,Bin,percent,7.2,7.3,0.000292897,
US National,1 wk ahead,Bin,percent,7.3,7.4,0.000292897,
US National,1 wk ahead,Bin,percent,7.4,7.5,0.000292897,
US National,1 wk ahead,Bin,percent,7.5,7.6,0.000292897,
US National,1 wk ahead,Bin,percent,7.6,7.7,0.000292897,
US National,1 wk ahead,Bin,percent,7.7,7.8,0.000292897,
US National,1 wk ahead,Bin,percent,7.8,7.9,0.000292897,
US National,1 wk ahead,Bin,percent,7.9,8,0.000292897,
US National,1 wk ahead,Bin,percent,8,8.1,0.000292897,
US National,1 wk ahead,Bin,percent,8.1,8.2,0.000292897,
US National,1 wk ahead,Bin,percent,8.2,8.3,0.000292897,
US National,1 wk ahead,Bin,percent,8.3,8.4,0.000292897,
US National,1 wk ahead,Bin,percent,8.4,8.5,0.000292897,
US National,1 wk ahead,Bin,percent,8.5,8.6,0.000292897,
US National,1 wk ahead,Bin,percent,8.6,8.7,0.000292897,
US National,1 wk ahead,Bin,percent,8.7,8.8,0.000292897,
US National,1 wk ahead,Bin,percent,8.8,8.9,0.000292897,
US National,1 wk ahead,Bin,percent,8.9,9,0.000292897,
US National,1 wk ahead,Bin,percent,9,9.1,0.000292897,
US National,1 wk ahead,Bin,percent,9.1,9.2,0.000292897,
US National,1 wk ahead,Bin,percent,9.2,9.3,0.000292897,
US National,1 wk ahead,Bin,percent,9.3,9.4,0.000292897,
US National,1 wk ahead,Bin,percent,9.4,9.5,0.000292897,
US National,1 wk ahead,Bin,percent,9.5,9.6,0.000292897,
US National,1 wk ahead,Bin,percent,9.6,9.7,0.000292897,
US National,1 wk ahead,Bin,percent,9.7,9.8,0.000292897,
US National,1 wk ahead,Bin,percent,9.8,9.9,0.000292897,
US National,1 wk ahead,Bin,percent,9.9,10,0.000292897,
US National,1 wk ahead,Bin,percent,10,10.1,0.000292897,
US National,1 wk ahead,Bin,percent,10.1,10.2,0.000292897,
US National,1 wk ahead,Bin,percent,10.2,10.3,0.000292897,
US National,1 wk ahead,Bin,percent,10.3,10.4,0.000292897,
US National,1 wk ahead,Bin,percent,10.4,10.5,0.000292897,
US National,1 wk ahead,Bin,percent,10.5,10.6,0.000292897,
US National,1 wk ahead,Bin,percent,10.6,10.7,0.000292897,
US National,1 wk ahead,Bin,percent,10.7,10.8,0.000292897,
US National,1 wk ahead,Bin,percent,10.8,10.9,0.000292897,
US National,1 wk ahead,Bin,percent,10.9,11,0.000292897,
US National,1 wk ahead,Bin,percent,11,11.1,0.000292897,
US National,1 wk ahead,Bin,percent,11.1,11.2,0.000292897,
US National,1 wk ahead,Bin,percent,11.2,11.3,0.000292897,
US National,1 wk ahead,Bin,percent,11.3,11.4,0.000292897,
US National,1 wk ahead,Bin,percent,11.4,11.5,0.000292897,
US National,1 wk ahead,Bin,percent,11.5,11.6,0.000292897,
US National,1 wk ahead,Bin,percent,11.6,11.7,0.000292897,
US National,1 wk ahead,Bin,percent,11.7,11.8,0.000292897,
US National,1 wk ahead,Bin,percent,11.8,11.9,0.000292897,
US National,1 wk ahead,Bin,percent,11.9,12,0.000292897,
US National,1 wk ahead,Bin,percent,12,12.1,0.000292897,
US National,1 wk ahead,Bin,percent,12.1,12.2,0.000292897,
US National,1 wk ahead,Bin,percent,12.2,12.3,0.000292897,
US National,1 wk ahead,Bin,percent,12.3,12.4,0.000292897,
US National,1 wk ahead,Bin,percent,12.4,12.5,0.000292897,
US National,1 wk ahead,Bin,percent,12.5,12.6,0.000292897,
US National,1 wk ahead,Bin,percent,12.6,12.7,0.000292897,
US National,1 wk ahead,Bin,percent,12.7,12.8,0.000292897,
US National,1 wk ahead,Bin,percent,12.8,12.9,0.000292897,
US National,1 wk ahead,Bin,percent,12.9,13,0.000292897,
US National,1 wk ahead,Bin,percent,13,100,0.000292897,
US National,2 wk ahead,Point,percent,NA,NA,1.699447137,
US National,2 wk ahead,Bin,percent,0,0.1,0.000483773,
US National,2 wk ahead,Bin,percent,0.1,0.2,0.000484366,
US National,2 wk ahead,Bin,percent,0.2,0.3,0.000485806,
US National,2 wk ahead,Bin,percent,0.3,0.4,0.000489316,
US National,2 wk ahead,Bin,percent,0.4,0.5,0.000497859,
US National,2 wk ahead,Bin,percent,0.5,0.6,0.000518505,
US National,2 wk ahead,Bin,percent,0.6,0.7,0.00060267,
US National,2 wk ahead,Bin,percent,0.7,0.8,0.000914693,
US National,2 wk ahead,Bin,percent,0.8,0.9,0.00160623,
US National,2 wk ahead,Bin,percent,0.9,1,0.003007429,
US National,2 wk ahead,Bin,percent,1,1.1,0.005716755,
US National,2 wk ahead,Bin,percent,1.1,1.2,0.010562554,
US National,2 wk ahead,Bin,percent,1.2,1.3,0.018981205,
US National,2 wk ahead,Bin,percent,1.3,1.4,0.042093589,
US National,2 wk ahead,Bin,percent,1.4,1.5,0.079618375,
US National,2 wk ahead,Bin,percent,1.5,1.6,0.131316489,
US National,2 wk ahead,Bin,percent,1.6,1.7,0.158501308,
US National,2 wk ahead,Bin,percent,1.7,1.8,0.149446785,
US National,2 wk ahead,Bin,percent,1.8,1.9,0.118292505,
US National,2 wk ahead,Bin,percent,1.9,2,0.08693613,
US National,2 wk ahead,Bin,percent,2,2.1,0.05568522,
US National,2 wk ahead,Bin,percent,2.1,2.2,0.037971624,
US National,2 wk ahead,Bin,percent,2.2,2.3,0.020215837,
US National,2 wk ahead,Bin,percent,2.3,2.4,0.0122435,
US National,2 wk ahead,Bin,percent,2.4,2.5,0.006742371,
US National,2 wk ahead,Bin,percent,2.5,2.6,0.003661457,
US National,2 wk ahead,Bin,percent,2.6,2.7,0.001796849,
US National,2 wk ahead,Bin,percent,2.7,2.8,0.001176914,
US National,2 wk ahead,Bin,percent,2.8,2.9,0.000558792,
US National,2 wk ahead,Bin,percent,2.9,3,0.000514742,
US National,2 wk ahead,Bin,percent,3,3.1,0.000496296,
US National,2 wk ahead,Bin,percent,3.1,3.2,0.000488673,
US National,2 wk ahead,Bin,percent,3.2,3.3,0.000485542,
US National,2 wk ahead,Bin,percent,3.3,3.4,0.000608126,
US National,2 wk ahead,Bin,percent,3.4,3.5,0.000483728,
US National,2 wk ahead,Bin,percent,3.5,3.6,0.000483508,
US National,2 wk ahead,Bin,percent,3.6,3.7,0.000483416,
US National,2 wk ahead,Bin,percent,3.7,3.8,0.000483377,
US National,2 wk ahead,Bin,percent,3.8,3.9,0.00048336,
US National,2 wk ahead,Bin,percent,3.9,4,0.000483353,
US National,2 wk ahead,Bin,percent,4,4.1,0.000483349,
US National,2 wk ahead,Bin,percent,4.1,4.2,0.000483348,
US National,2 wk ahead,Bin,percent,4.2,4.3,0.000483347,
US National,2 wk ahead,Bin,percent,4.3,4.4,0.000483347,
US National,2 wk ahead,Bin,percent,4.4,4.5,0.000483347,
US National,2 wk ahead,Bin,percent,4.5,4.6,0.000483347,
US National,2 wk ahead,Bin,percent,4.6,4.7,0.000483347,
US National,2 wk ahead,Bin,percent,4.7,4.8,0.000483347,
US National,2 wk ahead,Bin,percent,4.8,4.9,0.000483347,
US National,2 wk ahead,Bin,percent,4.9,5,0.000483347,
US National,2 wk ahead,Bin,percent,5,5.1,0.000483347,
US National,2 wk ahead,Bin,percent,5.1,5.2,0.000483347,
US National,2 wk ahead,Bin,percent,5.2,5.3,0.000483347,
US National,2 wk ahead,Bin,percent,5.3,5.4,0.000483347,
US National,2 wk ahead,Bin,percent,5.4,5.5,0.000483347,
US National,2 wk ahead,Bin,percent,5.5,5.6,0.000483347,
US National,2 wk ahead,Bin,percent,5.6,5.7,0.000483347,
US National,2 wk ahead,Bin,percent,5.7,5.8,0.000483347,
US National,2 wk ahead,Bin,percent,5.8,5.9,0.000483347,
US National,2 wk ahead,Bin,percent,5.9,6,0.000483347,
US National,2 wk ahead,Bin,percent,6,6.1,0.000483347,
US National,2 wk ahead,Bin,percent,6.1,6.2,0.000483347,
US National,2 wk ahead,Bin,percent,6.2,6.3,0.000483347,
US National,2 wk ahead,Bin,percent,6.3,6.4,0.000483347,
US National,2 wk ahead,Bin,percent,6.4,6.5,0.000483347,
US National,2 wk ahead,Bin,percent,6.5,6.6,0.000483347,
US National,2 wk ahead,Bin,percent,6.6,6.7,0.000483347,
US National,2 wk ahead,Bin,percent,6.7,6.8,0.000483347,
US National,2 wk ahead,Bin,percent,6.8,6.9,0.000483347,
US National,2 wk ahead,Bin,percent,6.9,7,0.000483347,
US National,2 wk ahead,Bin,percent,7,7.1,0.000483347,
US National,2 wk ahead,Bin,percent,7.1,7.2,0.000483347,
US National,2 wk ahead,Bin,percent,7.2,7.3,0.000483347,
US National,2 wk ahead,Bin,percent,7.3,7.4,0.000483347,
US National,2 wk ahead,Bin,percent,7.4,7.5,0.000483347,
US National,2 wk ahead,Bin,percent,7.5,7.6,0.000483347,
US National,2 wk ahead,Bin,percent,7.6,7.7,0.000483347,
US National,2 wk ahead,Bin,percent,7.7,7.8,0.000483347,
US National,2 wk ahead,Bin,percent,7.8,7.9,0.000483347,
US National,2 wk ahead,Bin,percent,7.9,8,0.000483347,
US National,2 wk ahead,Bin,percent,8,8.1,0.000483347,
US National,2 wk ahead,Bin,percent,8.1,8.2,0.000483347,
US National,2 wk ahead,Bin,percent,8.2,8.3,0.000483347,
US National,2 wk ahead,Bin,percent,8.3,8.4,0.000483347,
US National,2 wk ahead,Bin,percent,8.4,8.5,0.000483347,
US National,2 wk ahead,Bin,percent,8.5,8.6,0.000483347,
US National,2 wk ahead,Bin,percent,8.6,8.7,0.000483347,
US National,2 wk ahead,Bin,percent,8.7,8.8,0.000483347,
US National,2 wk ahead,Bin,percent,8.8,8.9,0.000483347,
US National,2 wk ahead,Bin,percent,8.9,9,0.000483347,
US National,2 wk ahead,Bin,percent,9,9.1,0.000483347,
US National,2 wk ahead,Bin,percent,9.1,9.2,0.000483347,
US National,2 wk ahead,Bin,percent,9.2,9.3,0.000483347,
US National,2 wk ahead,Bin,percent,9.3,9.4,0.000483347,
US National,2 wk ahead,Bin,percent,9.4,9.5,0.000483347,
US National,2 wk ahead,Bin,percent,9.5,9.6,0.000483347,
US National,2 wk ahead,Bin,percent,9.6,9.7,0.000483347,
US National,2 wk ahead,Bin,percent,9.7,9.8,0.000483347,
US National,2 wk ahead,Bin,percent,9.8,9.9,0.000483347,
US National,2 wk ahead,Bin,percent,9.9,10,0.000483347,
US National,2 wk ahead,Bin,percent,10,10.1,0.000483347,
US National,2 wk ahead,Bin,percent,10.1,10.2,0.000483347,
US National,2 wk ahead,Bin,percent,10.2,10.3,0.000483347,
US National,2 wk ahead,Bin,percent,10.3,10.4,0.000483347,
US National,2 wk ahead,Bin,percent,10.4,10.5,0.000483347,
US National,2 wk ahead,Bin,percent,10.5,10.6,0.000483347,
US National,2 wk ahead,Bin,percent,10.6,10.7,0.000483347,
US National,2 wk ahead,Bin,percent,10.7,10.8,0.000483347,
