target,location,season,forecast date,observation,observation2
2wk,region10,2015/2016,4/25/2016,0.74733,
2wk,region10,2015/2016,5/2/2016,0.940669,
2wk,region10,2015/2016,5/9/2016,0.529396,
2wk,region10,2015/2016,5/16/2016,0.530742,
3wk,region10,2015/2016,11/2/2015,0.891904,
3wk,region10,2015/2016,11/9/2015,0.694108,
3wk,region10,2015/2016,11/16/2015,0.82039,
3wk,region10,2015/2016,11/23/2015,0.812498,
3wk,region10,2015/2016,12/1/2015,0.594886,
3wk,region10,2015/2016,12/7/2015,0.658719,
3wk,region10,2015/2016,12/14/2015,0.66188,
3wk,region10,2015/2016,12/21/2015,0.791975,
3wk,region10,2015/2016,12/30/2015,0.888661,
3wk,region10,2015/2016,1/6/2016,1.1,
3wk,region10,2015/2016,1/11/2016,1.3789,
3wk,region10,2015/2016,1/18/2016,1.41403,
3wk,region10,2015/2016,1/25/2016,1.65259,
3wk,region10,2015/2016,2/1/2016,1.73793,
3wk,region10,2015/2016,2/8/2016,2.44289,
3wk,region10,2015/2016,2/15/2016,2.13499,
3wk,region10,2015/2016,2/22/2016,1.98941,
3wk,region10,2015/2016,2/29/2016,2.21239,
3wk,region10,2015/2016,3/7/2016,2.17566,
3wk,region10,2015/2016,3/14/2016,1.707,
3wk,region10,2015/2016,3/21/2016,1.77751,
3wk,region10,2015/2016,3/28/2016,1.71131,
3wk,region10,2015/2016,4/4/2016,0.994849,
3wk,region10,2015/2016,4/11/2016,0.797965,
3wk,region10,2015/2016,4/18/2016,0.74733,
3wk,region10,2015/2016,4/25/2016,0.940669,
3wk,region10,2015/2016,5/2/2016,0.529396,
3wk,region10,2015/2016,5/9/2016,0.530742,
3wk,region10,2015/2016,5/16/2016,0.206955,
4wk,region10,2015/2016,11/2/2015,0.694108,
4wk,region10,2015/2016,11/9/2015,0.82039,
4wk,region10,2015/2016,11/16/2015,0.812498,
4wk,region10,2015/2016,11/23/2015,0.594886,
4wk,region10,2015/2016,12/1/2015,0.658719,
4wk,region10,2015/2016,12/7/2015,0.66188,
4wk,region10,2015/2016,12/14/2015,0.791975,
4wk,region10,2015/2016,12/21/2015,0.888661,
4wk,region10,2015/2016,12/30/2015,1.1,
4wk,region10,2015/2016,1/6/2016,1.3789,
4wk,region10,2015/2016,1/11/2016,1.41403,
4wk,region10,2015/2016,1/18/2016,1.65259,
4wk,region10,2015/2016,1/25/2016,1.73793,
4wk,region10,2015/2016,2/1/2016,2.44289,
4wk,region10,2015/2016,2/8/2016,2.13499,
4wk,region10,2015/2016,2/15/2016,1.98941,
4wk,region10,2015/2016,2/22/2016,2.21239,
4wk,region10,2015/2016,2/29/2016,2.17566,
4wk,region10,2015/2016,3/7/2016,1.707,
4wk,region10,2015/2016,3/14/2016,1.77751,
4wk,region10,2015/2016,3/21/2016,1.71131,
4wk,region10,2015/2016,3/28/2016,0.994849,
4wk,region10,2015/2016,4/4/2016,0.797965,
4wk,region10,2015/2016,4/11/2016,0.74733,
4wk,region10,2015/2016,4/18/2016,0.940669,
4wk,region10,2015/2016,4/25/2016,0.529396,
4wk,region10,2015/2016,5/2/2016,0.530742,
4wk,region10,2015/2016,5/9/2016,0.206955,
4wk,region10,2015/2016,5/16/2016,0.187745,
1wk,region2,2015/2016,11/2/2015,1.10278,
1wk,region2,2015/2016,11/9/2015,1.21684,
1wk,region2,2015/2016,11/16/2015,1.07336,
1wk,region2,2015/2016,11/23/2015,1.3633,
1wk,region2,2015/2016,12/1/2015,1.35069,
1wk,region2,2015/2016,12/7/2015,1.57092,
1wk,region2,2015/2016,12/14/2015,1.86092,
1wk,region2,2015/2016,12/21/2015,1.74541,
1wk,region2,2015/2016,12/30/2015,2.29498,
1wk,region2,2015/2016,1/6/2016,2.30133,
1wk,region2,2015/2016,1/11/2016,1.77591,
1wk,region2,2015/2016,1/18/2016,2.37764,
1wk,region2,2015/2016,1/25/2016,2.18428,
1wk,region2,2015/2016,2/1/2016,2.32815,
1wk,region2,2015/2016,2/8/2016,2.50124,
1wk,region2,2015/2016,2/15/2016,3.22646,
1wk,region2,2015/2016,2/22/2016,2.76832,
1wk,region2,2015/2016,2/29/2016,3.17342,
1wk,region2,2015/2016,3/7/2016,3.69465,
1wk,region2,2015/2016,3/14/2016,4.01335,
1wk,region2,2015/2016,3/21/2016,4.07985,
1wk,region2,2015/2016,3/28/2016,3.34526,
1wk,region2,2015/2016,4/4/2016,2.3,
1wk,region2,2015/2016,4/11/2016,1.9742,
1wk,region2,2015/2016,4/18/2016,2.22224,
1wk,region2,2015/2016,4/25/2016,2.00991,
1wk,region2,2015/2016,5/2/2016,1.6754,
1wk,region2,2015/2016,5/9/2016,1.4765,
1wk,region2,2015/2016,5/16/2016,1.28867,
2wk,region2,2015/2016,11/2/2015,1.21684,
2wk,region2,2015/2016,11/9/2015,1.07336,
2wk,region2,2015/2016,11/16/2015,1.3633,
2wk,region2,2015/2016,11/23/2015,1.35069,
2wk,region2,2015/2016,12/1/2015,1.57092,
2wk,region2,2015/2016,12/7/2015,1.86092,
2wk,region2,2015/2016,12/14/2015,1.74541,
2wk,region2,2015/2016,12/21/2015,2.29498,
2wk,region2,2015/2016,12/30/2015,2.30133,
2wk,region2,2015/2016,1/6/2016,1.77591,
2wk,region2,2015/2016,1/11/2016,2.37764,
2wk,region2,2015/2016,1/18/2016,2.18428,
2wk,region2,2015/2016,1/25/2016,2.32815,
2wk,region2,2015/2016,2/1/2016,2.50124,
2wk,region2,2015/2016,2/8/2016,3.22646,
2wk,region2,2015/2016,2/15/2016,2.76832,
2wk,region2,2015/2016,2/22/2016,3.17342,
2wk,region2,2015/2016,2/29/2016,3.69465,
2wk,region2,2015/2016,3/7/2016,4.01335,
2wk,region2,2015/2016,3/14/2016,4.07985,
2wk,region2,2015/2016,3/21/2016,3.34526,
2wk,region2,2015/2016,3/28/2016,2.3,
2wk,region2,2015/2016,4/4/2016,1.9742,
2wk,region2,2015/2016,4/11/2016,2.22224,
2wk,region2,2015/2016,4/18/2016,2.00991,
2wk,region2,2015/2016,4/25/2016,1.6754,
2wk,region2,2015/2016,5/2/2016,1.4765,
2wk,region2,2015/2016,5/9/2016,1.28867,
2wk,region2,2015/2016,5/16/2016,1.25627,
3wk,region2,2015/2016,11/2/2015,1.07336,
3wk,region2,2015/2016,11/9/2015,1.3633,
3wk,region2,2015/2016,11/16/2015,1.35069,
3wk,region2,2015/2016,11/23/2015,1.57092,
3wk,region2,2015/2016,12/1/2015,1.86092,
3wk,region2,2015/2016,12/7/2015,1.74541,
3wk,region2,2015/2016,12/14/2015,2.29498,
3wk,region2,2015/2016,12/21/2015,2.30133,
3wk,region2,2015/2016,12/30/2015,1.77591,
3wk,region2,2015/2016,1/6/2016,2.37764,
3wk,region2,2015/2016,1/11/2016,2.18428,
3wk,region2,2015/2016,1/18/2016,2.32815,
3wk,region2,2015/2016,1/25/2016,2.50124,
3wk,region2,2015/2016,2/1/2016,3.22646,
3wk,region2,2015/2016,2/8/2016,2.76832,
3wk,region2,2015/2016,2/15/2016,3.17342,
3wk,region2,2015/2016,2/22/2016,3.69465,
3wk,region2,2015/2016,2/29/2016,4.01335,
3wk,region2,2015/2016,3/7/2016,4.07985,
3wk,region2,2015/2016,3/14/2016,3.34526,
3wk,region2,2015/2016,3/21/2016,2.3,
3wk,region2,2015/2016,3/28/2016,1.9742,
3wk,region2,2015/2016,4/4/2016,2.22224,
3wk,region2,2015/2016,4/11/2016,2.00991,
3wk,region2,2015/2016,4/18/2016,1.6754,
3wk,region2,2015/2016,4/25/2016,1.4765,
3wk,region2,2015/2016,5/2/2016,1.28867,
3wk,region2,2015/2016,5/9/2016,1.25627,
3wk,region2,2015/2016,5/16/2016,1.21889,
4wk,region2,2015/2016,11/2/2015,1.3633,
4wk,region2,2015/2016,11/9/2015,1.35069,
4wk,region2,2015/2016,11/16/2015,1.57092,
4wk,region2,2015/2016,11/23/2015,1.86092,
4wk,region2,2015/2016,12/1/2015,1.74541,
4wk,region2,2015/2016,12/7/2015,2.29498,
4wk,region2,2015/2016,12/14/2015,2.30133,
4wk,region2,2015/2016,12/21/2015,1.77591,
4wk,region2,2015/2016,12/30/2015,2.37764,
4wk,region2,2015/2016,1/6/2016,2.18428,
4wk,region2,2015/2016,1/11/2016,2.32815,
4wk,region2,2015/2016,1/18/2016,2.50124,
4wk,region2,2015/2016,1/25/2016,3.22646,
4wk,region2,2015/2016,2/1/2016,2.76832,
4wk,region2,2015/2016,2/8/2016,3.17342,
4wk,region2,2015/2016,2/15/2016,3.69465,
4wk,region2,2015/2016,2/22/2016,4.01335,
4wk,region2,2015/2016,2/29/2016,4.07985,
4wk,region2,2015/2016,3/7/2016,3.34526,
4wk,region2,2015/2016,3/14/2016,2.3,
4wk,region2,2015/2016,3/21/2016,1.9742,
4wk,region2,2015/2016,3/28/2016,2.22224,
4wk,region2,2015/2016,4/4/2016,2.00991,
4wk,region2,2015/2016,4/11/2016,1.6754,
4wk,region2,2015/2016,4/18/2016,1.4765,
4wk,region2,2015/2016,4/25/2016,1.28867,
4wk,region2,2015/2016,5/2/2016,1.25627,
4wk,region2,2015/2016,5/9/2016,1.21889,
4wk,region2,2015/2016,5/16/2016,0.834456,
1wk,region3,2015/2016,11/2/2015,1.39535,
1wk,region3,2015/2016,11/9/2015,1.53198,
1wk,region3,2015/2016,11/16/2015,1.57587,
1wk,region3,2015/2016,11/23/2015,1.72001,
1wk,region3,2015/2016,12/1/2015,2.17414,
1wk,region3,2015/2016,12/7/2015,1.83996,
1wk,region3,2015/2016,12/14/2015,2.02023,
1wk,region3,2015/2016,12/21/2015,2.27837,
1wk,region3,2015/2016,12/30/2015,2.81511,
1wk,region3,2015/2016,1/6/2016,2.97706,
1wk,region3,2015/2016,1/11/2016,2.38365,
1wk,region3,2015/2016,1/18/2016,2.32746,
1wk,region3,2015/2016,1/25/2016,2.28403,
1wk,region3,2015/2016,2/1/2016,2.23747,
1wk,region3,2015/2016,2/8/2016,1.97779,
1wk,region3,2015/2016,2/15/2016,2.25924,
1wk,region3,2015/2016,2/22/2016,2.5782,
1wk,region3,2015/2016,2/29/2016,2.92751,
1wk,region3,2015/2016,3/7/2016,3.28807,
1wk,region3,2015/2016,3/14/2016,3.98252,
1wk,region3,2015/2016,3/21/2016,3.21284,
1wk,region3,2015/2016,3/28/2016,2.99606,
1wk,region3,2015/2016,4/4/2016,2.50929,
1wk,region3,2015/2016,4/11/2016,2.09474,
1wk,region3,2015/2016,4/18/2016,2.18285,
1wk,region3,2015/2016,4/25/2016,2.29379,
1wk,region3,2015/2016,5/2/2016,2.15528,
1wk,region3,2015/2016,5/9/2016,1.88899,
1wk,region3,2015/2016,5/16/2016,1.72984,
2wk,region3,2015/2016,11/2/2015,1.53198,
2wk,region3,2015/2016,11/9/2015,1.57587,
2wk,region3,2015/2016,11/16/2015,1.72001,
2wk,region3,2015/2016,11/23/2015,2.17414,
2wk,region3,2015/2016,12/1/2015,1.83996,
2wk,region3,2015/2016,12/7/2015,2.02023,
2wk,region3,2015/2016,12/14/2015,2.27837,
2wk,region3,2015/2016,12/21/2015,2.81511,
2wk,region3,2015/2016,12/30/2015,2.97706,
2wk,region3,2015/2016,1/6/2016,2.38365,
2wk,region3,2015/2016,1/11/2016,2.32746,
2wk,region3,2015/2016,1/18/2016,2.28403,
2wk,region3,2015/2016,1/25/2016,2.23747,
2wk,region3,2015/2016,2/1/2016,1.97779,
2wk,region3,2015/2016,2/8/2016,2.25924,
2wk,region3,2015/2016,2/15/2016,2.5782,
2wk,region3,2015/2016,2/22/2016,2.92751,
2wk,region3,2015/2016,2/29/2016,3.28807,
2wk,region3,2015/2016,3/7/2016,3.98252,
2wk,region3,2015/2016,3/14/2016,3.21284,
2wk,region3,2015/2016,3/21/2016,2.99606,
2wk,region3,2015/2016,3/28/2016,2.50929,
2wk,region3,2015/2016,4/4/2016,2.09474,
2wk,region3,2015/2016,4/11/2016,2.18285,
2wk,region3,2015/2016,4/18/2016,2.29379,
2wk,region3,2015/2016,4/25/2016,2.15528,
2wk,region3,2015/2016,5/2/2016,1.88899,
2wk,region3,2015/2016,5/9/2016,1.72984,
2wk,region3,2015/2016,5/16/2016,1.66239,
3wk,region3,2015/2016,11/2/2015,1.57587,
3wk,region3,2015/2016,11/9/2015,1.72001,
3wk,region3,2015/2016,11/16/2015,2.17414,
3wk,region3,2015/2016,11/23/2015,1.83996,
3wk,region3,2015/2016,12/1/2015,2.02023,
3wk,region3,2015/2016,12/7/2015,2.27837,
3wk,region3,2015/2016,12/14/2015,2.81511,
3wk,region3,2015/2016,12/21/2015,2.97706,
3wk,region3,2015/2016,12/30/2015,2.38365,
3wk,region3,2015/2016,1/6/2016,2.32746,
3wk,region3,2015/2016,1/11/2016,2.28403,
3wk,region3,2015/2016,1/18/2016,2.23747,
3wk,region3,2015/2016,1/25/2016,1.97779,
3wk,region3,2015/2016,2/1/2016,2.25924,
3wk,region3,2015/2016,2/8/2016,2.5782,
3wk,region3,2015/2016,2/15/2016,2.92751,
3wk,region3,2015/2016,2/22/2016,3.28807,
3wk,region3,2015/2016,2/29/2016,3.98252,
3wk,region3,2015/2016,3/7/2016,3.21284,
3wk,region3,2015/2016,3/14/2016,2.99606,
3wk,region3,2015/2016,3/21/2016,2.50929,
3wk,region3,2015/2016,3/28/2016,2.09474,
3wk,region3,2015/2016,4/4/2016,2.18285,
3wk,region3,2015/2016,4/11/2016,2.29379,
3wk,region3,2015/2016,4/18/2016,2.15528,
3wk,region3,2015/2016,4/25/2016,1.88899,
3wk,region3,2015/2016,5/2/2016,1.72984,
3wk,region3,2015/2016,5/9/2016,1.66239,
3wk,region3,2015/2016,5/16/2016,1.60803,
4wk,region3,2015/2016,11/2/2015,1.72001,
4wk,region3,2015/2016,11/9/2015,2.17414,
4wk,region3,2015/2016,11/16/2015,1.83996,
4wk,region3,2015/2016,11/23/2015,2.02023,
4wk,region3,2015/2016,12/1/2015,2.27837,
4wk,region3,2015/2016,12/7/2015,2.81511,
4wk,region3,2015/2016,12/14/2015,2.97706,
4wk,region3,2015/2016,12/21/2015,2.38365,
4wk,region3,2015/2016,12/30/2015,2.32746,
4wk,region3,2015/2016,1/6/2016,2.28403,
4wk,region3,2015/2016,1/11/2016,2.23747,
4wk,region3,2015/2016,1/18/2016,1.97779,
4wk,region3,2015/2016,1/25/2016,2.25924,
4wk,region3,2015/2016,2/1/2016,2.5782,
4wk,region3,2015/2016,2/8/2016,2.92751,
4wk,region3,2015/2016,2/15/2016,3.28807,
4wk,region3,2015/2016,2/22/2016,3.98252,
4wk,region3,2015/2016,2/29/2016,3.21284,
4wk,region3,2015/2016,3/7/2016,2.99606,
4wk,region3,2015/2016,3/14/2016,2.50929,
4wk,region3,2015/2016,3/21/2016,2.09474,
4wk,region3,2015/2016,3/28/2016,2.18285,
4wk,region3,2015/2016,4/4/2016,2.29379,
4wk,region3,2015/2016,4/11/2016,2.15528,
4wk,region3,2015/2016,4/18/2016,1.88899,
4wk,region3,2015/2016,4/25/2016,1.72984,
4wk,region3,2015/2016,5/2/2016,1.66239,
4wk,region3,2015/2016,5/9/2016,1.60803,
4wk,region3,2015/2016,5/16/2016,1.85799,
1wk,region4,2015/2016,11/2/2015,1.07437,
1wk,region4,2015/2016,11/9/2015,1.08652,
1wk,region4,2015/2016,11/16/2015,1.15319,
1wk,region4,2015/2016,11/23/2015,1.33627,
1wk,region4,2015/2016,12/1/2015,1.67671,
1wk,region4,2015/2016,12/7/2015,1.38019,
1wk,region4,2015/2016,12/14/2015,1.39325,
1wk,region4,2015/2016,12/21/2015,1.54031,
1wk,region4,2015/2016,12/30/2015,1.91839,
1wk,region4,2015/2016,1/6/2016,1.79477,
1wk,region4,2015/2016,1/11/2016,1.42303,
1wk,region4,2015/2016,1/18/2016,1.52679,
1wk,region4,2015/2016,1/25/2016,1.79656,
1wk,region4,2015/2016,2/1/2016,1.88048,
1wk,region4,2015/2016,2/8/2016,2.08757,
1wk,region4,2015/2016,2/15/2016,2.31665,
1wk,region4,2015/2016,2/22/2016,2.93945,
1wk,region4,2015/2016,2/29/2016,3.35558,
1wk,region4,2015/2016,3/7/2016,3.30622,
1wk,region4,2015/2016,3/14/2016,3.62199,
1wk,region4,2015/2016,3/21/2016,2.89248,
1wk,region4,2015/2016,3/28/2016,2.78744,
1wk,region4,2015/2016,4/4/2016,2.67521,
1wk,region4,2015/2016,4/11/2016,2.14815,
1wk,region4,2015/2016,4/18/2016,2.03974,
1wk,region4,2015/2016,4/25/2016,2.02476,
1wk,region4,2015/2016,5/2/2016,1.80236,
1wk,region4,2015/2016,5/9/2016,1.69895,
1wk,region4,2015/2016,5/16/2016,1.42414,
2wk,region4,2015/2016,11/2/2015,1.08652,
2wk,region4,2015/2016,11/9/2015,1.15319,
2wk,region4,2015/2016,11/16/2015,1.33627,
2wk,region4,2015/2016,11/23/2015,1.67671,
2wk,region4,2015/2016,12/1/2015,1.38019,
2wk,region4,2015/2016,12/7/2015,1.39325,
2wk,region4,2015/2016,12/14/2015,1.54031,
2wk,region4,2015/2016,12/21/2015,1.91839,
2wk,region4,2015/2016,12/30/2015,1.79477,
2wk,region4,2015/2016,1/6/2016,1.42303,
2wk,region4,2015/2016,1/11/2016,1.52679,
2wk,region4,2015/2016,1/18/2016,1.79656,
2wk,region4,2015/2016,1/25/2016,1.88048,
2wk,region4,2015/2016,2/1/2016,2.08757,
2wk,region4,2015/2016,2/8/2016,2.31665,
2wk,region4,2015/2016,2/15/2016,2.93945,
2wk,region4,2015/2016,2/22/2016,3.35558,
2wk,region4,2015/2016,2/29/2016,3.30622,
